word,score,globalContribution,positionalContribution
coley,4.148632003640634,2.452861771732949,1.6957702319076848
loast,4.148234770679571,2.58778145206452,1.5604533186150513
saith,4.148174305949776,2.4968809696595278,1.651293336290248
sarin,4.147993136520584,2.5754985861709936,1.5724945503495904
brine,4.147933224238283,2.413247065666515,1.734686158571768
spare,4.147216634591892,2.49525296475898,1.6519636698329125
tuile,4.146772314670045,2.524086064086537,1.622686250583508
roist,4.14438910273056,2.588709400834764,1.5556797018957966
touse,4.143063811035759,2.5226689763233194,1.6203948347124397
spale,4.141282751750897,2.4787803145928913,1.6625024371580062
brose,4.140748674611401,2.4333900416682392,1.7073586329431616
spane,4.139667830756625,2.4572202508279495,1.682447579928675
roily,4.139593391374819,2.5224491340947592,1.6171442572800598
plane,4.1394043219282715,2.4627689522189193,1.6766353697093521
samey,4.137538955769511,2.3809133348970875,1.7566256208724238
cruse,4.137037711740997,2.476466202858222,1.660571508882775
irate,4.135559095430834,2.608036449134617,1.5275226462962164
coure,4.1353620117347525,2.4859757337741093,1.6493862779606427
sloan,4.134961163428474,2.563157549632657,1.5718036137958167
ranse,4.134876430361513,2.578034629414619,1.556841800946894
lairy,4.134091923763189,2.5338622218628517,1.6002297019003378
shirt,4.1336141800221355,2.497979702532607,1.6356344774895288
trail,4.132881903879996,2.605671189993826,1.5272107138861697
blaer,4.131893700396267,2.4503518308273016,1.681541869568966
souct,4.131869468155874,2.464652961743181,1.667216506412693
surly,4.13169301075701,2.461006569692726,1.6706864410642834
shoat,4.131680645710764,2.50101258328728,1.6306680624234846
saned,4.131443742632734,2.470184977327653,1.6612587653050805
canoe,4.131235745602557,2.5154207547250698,1.615814990877487
suent,4.131221188695335,2.4971480830334607,1.6340731056618738
drole,4.131031614648045,2.5023533048815607,1.6286783097664839
sager,4.1299157131928705,2.467435738676368,1.6624799745165029
drone,4.129416693653772,2.480793241116619,1.6486234525371528
grate,4.129300037546184,2.476048278734259,1.6532517588119244
blare,4.129140050013715,2.4503518308273016,1.6787882191864134
rouet,4.129031196407972,2.544690327880378,1.5843408685275937
sluit,4.1279789915995195,2.516172103554777,1.6118068880447425
snirt,4.127486361628145,2.563188507544905,1.56429785408324
blase,4.126812579701901,2.428330479270243,1.698482100431658
brace,4.126761062921723,2.394701075387954,1.7320599875337694
shily,4.12649099835458,2.4096980842355435,1.7167929141190366
maire,4.126278220958185,2.4715090318153643,1.654769189142821
soapy,4.1259438554212196,2.411630755512965,1.714313099908255
shiny,4.124876077360307,2.3881380204706018,1.7367380568897055
sayer,4.124572847403658,2.530849563715508,1.5937232836881499
maise,4.123950750646371,2.4494876802583057,1.6744630703880654
story,4.12392568930724,2.5201350554735464,1.6037906338336931
boite,4.123752041383296,2.4253591474572067,1.6983928939260893
sitar,4.123360778437768,2.6001224886028567,1.523238289834912
clair,4.123189597043524,2.546956595887557,1.5762330011559669
senor,4.123019789679071,2.5666215416465272,1.5563982480325433
parse,4.122594287745262,2.4952529647589796,1.627341322986282
sated,4.122548140336982,2.494808879759516,1.6277392605774663
carny,4.122489313105231,2.4568221867613973,1.6656671263438338
short,4.121208296871799,2.5021113161603594,1.6190969807114404
alist,4.121041005843534,2.583649838436768,1.5373911674067653
leary,4.120444098730344,2.5363982651064774,1.5840458336238668
maile,4.1203443381171905,2.4550363816492755,1.6653079564679145
spate,4.119489818219696,2.4818441532598126,1.637645664959884
least,4.11930592724509,2.5861858816803935,1.5331200455646972
plate,4.119226309391344,2.4873928546507824,1.631833454740561
taser,4.119003421218566,2.6026585318464823,1.5163448893720834
parle,4.118987875216081,2.5008016661499495,1.6181862090661312
porey,4.118161240024688,2.4206434489178044,1.6975177911068837
slime,4.117637274422535,2.4341137629652962,1.6835235114572389
riant,4.117556435198024,2.5841111262288847,1.533445308969139
trade,4.117060475954547,2.5168302313165745,1.6002302446379724
arsey,4.116975286644295,2.530849563715507,1.5861257229287882
slipe,4.116768769194083,2.4632356131970465,1.653533155997036
stony,4.116376885471971,2.4821023415425154,1.6342745439294557
diane,4.116208072476966,2.4755628946157877,1.6406451778611784
reist,4.11546025929608,2.5871138304506376,1.5283464288454425
scire,4.1154361078343085,2.5283992363443684,1.58703687148994
snort,4.115080478477808,2.5673201211726573,1.5477603573051513
sayne,4.114270393185837,2.4928168497844774,1.6214535434013597
leant,4.114084593721637,2.5701745193064216,1.5439100744152152
leany,4.112895294895076,2.4983655511754472,1.6145297437196293
thale,4.112481145221011,2.504965714294123,1.6075154309268882
goier,4.112374893529264,2.46140056819641,1.650974325332854
silen,4.111845882724433,2.5460172778526857,1.5658286048717467
grise,4.111296943152956,2.451891037280523,1.6594059058724335
thane,4.110866224226738,2.483405650529181,1.6274605736975571
conte,4.110236680422084,2.5031106760989816,1.6071260043231024
trial,4.11022444623176,2.6056711899938265,1.5045532562379327
suety,4.109853877331846,2.4499630173343494,1.6598908599974966
caser,4.108974151605745,2.543943937740213,1.5650302138655312
sidey,4.108558900348379,2.4074552102326967,1.7011036901156824
chare,4.1083857584491845,2.462723770353943,1.6456619880952421
porae,4.107272684844069,2.504762495674867,1.6025101891692017
urase,4.107008964888669,2.547490875590579,1.5595180892980895
spier,4.1065678445208365,2.4797082633631353,1.6268595811577014
laity,4.106365107390993,2.520453410363684,1.585911697027309
plier,4.106304335692483,2.4852569647541047,1.6210473709383786
chase,4.106058288137371,2.440702418796884,1.6653558693404866
crest,4.10473549382737,2.531633859114125,1.5731016347132445
slope,4.104362886043747,2.467367226824799,1.6369956592189476
alien,4.104326171694863,2.566939896536665,1.5373862751581984
rouse,4.104153523250012,2.536077787822487,1.5680757354275259
spire,4.103814194138284,2.4797082633631353,1.6241059307751486
score,4.103030224683972,2.5325308499721206,1.5704993747118516
clint,4.102307539184647,2.496613803330439,1.6056937358542078
sired,4.1022303466341725,2.4926729898628386,1.609557356771334
silty,4.101972071986159,2.499530791679705,1.6024412803064547
soger,4.101794291140898,2.4560226509082757,1.6457716402326226
blate,4.101413233641519,2.436943019328134,1.664470214313385
price,4.101171698217939,2.4296062093147577,1.6715654889031821
haole,4.100693861972665,2.5058627051521185,1.5948311568205473
coset,4.100649282017365,2.5191220384729536,1.5815272435444108
roule,4.100547110720832,2.541626489213457,1.558920621507375
noire,4.100432425908642,2.571999458934661,1.5284329669739813
irone,4.099928784363817,2.5719994589346613,1.527929325429155
cosey,4.099459983190804,2.4473130703419788,1.6521469128488249
moire,4.098156798906212,2.460095944047272,1.6380608548589404
noise,4.0981049555968285,2.5499781073776027,1.5481268482192259
